고객ID,사용기기,사용OS,유입경로,회원상태,거주지,연령,성별,서비스총구매수,총구매금액,총수정요청수,총추가결제금액
1.00101E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,서울시,27,남성,2,12100,-1,7100
1.00101E+11,SM-J111F,Android5.1.1,유튜브,정상회원,서울시,40,여성,2,134200,0,14200
1.00101E+11,SM-G930S,Android8.0.0,네이버블로그,정상회원,경상도,22,남성,1,37100,0,7100
1.00101E+11,iPhone,iOS11.4.1,인스타그램,정상회원,경상도,29,남성,2,35200,0,14200
1.00101E+11,SM-N935S,Android7.0,네이버블로그,정상회원,경상도,22,남성,1,12100,0,7100
10010100514,iPhone,iOS11.4.1,인스타그램,정상회원,경상도,23,남성,1,107100,0,7100
1.00101E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,29,남성,1,12100,0,7100
1.00101E+11,LG-F800S,Android8.0.0,네이버카페,정상회원,경기도,27,남성,1,17100,0,7100
1.00101E+11,SM-G930S,Android8.0.0,네이버카페,정상회원,경기도,28,남성,1,37100,0,7100
1.00101E+11,SM-N935S,Android7.0,네이버카페,정상회원,경기도,34,남성,1,12100,0,7100
1.00101E+11,iPhone,iOS11.4.1,유튜브,정상회원,경기도,26,,1,17100,0,7100
1.00101E+11,iPhone,iOS11.4.1,네이버카페,정상회원,경기도,26,,1,158000,1,18000
1.00101E+11,SM-N915L,Android6.0.1,인스타그램,정상회원,경기도,28,남성,1,27100,0,7100
1.00101E+11,iPhone,iOS11.4.1,유튜브,정상회원,경기도,24,여성,1,17100,0,7100
1.00101E+11,SM-N935S,Android7.0,검색광고,정상회원,경기도,22,남성,1,17100,0,7100
1.00101E+11,SM-N935S,Android7.0,유튜브,정상회원,경기도,23,여성,2,54200,0,14200
10010100518,iPhone,iOS11.4.1,유튜브,정상회원,경기도,27,여성,1,18100,0,7100
1.00101E+11,iPhone,iOS11.4.1,유튜브,정상회원,경기도,26,,1,87100,0,7100
10010100519,SM-N915L,Android6.0.1,검색광고,정상회원,경기도,31,남성,1,107100,0,7100
1.00101E+11,SM-N935S,Android7.0,네이버카페,정상회원,경기도,28,남성,1,12100,0,7100
1.00101E+11,SM-G965N,Android8.0.0,인스타그램,정상회원,경기도,25,남성,1,37100,0,7100
1.00101E+11,SM-G930K,Android7.0,유튜브,정상회원,경기도,36,여성,1,37100,0,7100
10010100522,iPhone,iOS11.4.1,네이버카페,정상회원,경기도,25,남성,1,22100,0,7100
10010100523,iPhone,iOS11.4.1,검색광고,정상회원,경기도,22,남성,1,78900,2,28900
10010100528,iPhone,iOS11.4.1,유튜브,정상회원,경기도,28,남성,1,18100,0,7100
10010100534,iPhone,iOS11.4.1,유튜브,정상회원,경기도,25,남성,1,57100,0,7100
10010100536,SM-N915L,Android6.0.1,네이버카페,정상회원,경기도,25,남성,1,57100,0,7100
10010100537,SM-G930K,Android7.0,네이버카페,정상회원,경기도,37,남성,2,69200,0,14200
10010100538,SM-G930K,Android7.0,네이버블로그,정상회원,경기도,26,남성,2,344200,0,14200
10010100540,Mi A1,Android8.1.0,네이버블로그,정상회원,경기도,25,남성,1,106100,0,7100
10010100541,iPhone,iOS11.4.1,검색광고,정상회원,서울시,21,남성,1,37100,0,7100
10010100542,SM-N935S,Android7.0,유튜브,정상회원,서울시,30,여성,1,17100,0,7100
10010100544,SM-N915L,Android6.0.1,구글광고,정상회원,서울시,25,여성,1,22100,0,7100
10010100553,iPhone,iOS11.4.1,인스타그램,정상회원,서울시,25,남성,1,37100,0,7100
10010100554,SM-A810S,Android7.0,유튜브,정상회원,서울시,19,남성,1,18100,0,7100
10010100557,iPhone,iOS12.0,유튜브,정상회원,서울시,27,남성,1,22100,0,7100
10010100569,SM-G935K,Android8.0.0,유튜브,정상회원,경기도,28,남성,1,12100,0,7100
1001010057,SM-G935S,Android8.0.0,유튜브,정상회원,경기도,21,여성,1,37100,0,7100
10010100575,iPhone,iOS11.4.1,네이버카페,정상회원,경기도,22,남성,1,18100,0,7100
10010100578,SM-G930K,Android7.0,검색광고,정상회원,경기도,43,남성,2,54200,0,14200
1001010058,SM-G935S,Android8.0.0,유튜브,정상회원,전라도,21,남성,1,57100,0,7100
10010100581,SM-A810S,Android7.0,인스타그램,정상회원,전라도,35,남성,1,37100,0,7100
10010100583,SM-G955N,Android8.0.0,유튜브,정상회원,전라도,22,여성,1,12100,0,7100
10010100588,SM-G935K,Android8.0.0,네이버카페,정상회원,전라도,21,남성,1,47100,0,7100
10010100594,iPhone,iOS11.4.1,유튜브,정상회원,전라도,34,남성,1,0,-1,0
10010100595,SM-G960N,Android8.0.0,네이버블로그,정상회원,전라도,20,남성,1,107100,0,7100
10010100597,SM-G935K,Android8.0.0,네이버블로그,정상회원,경기도,30,남성,1,16100,0,7100
1.00101E+11,SM-G935K,Android8.0.0,인스타그램,정상회원,경기도,22,남성,1,147700,0,37700
1.00101E+11,SM-G955N,Android8.0.0,검색광고,정상회원,경기도,28,남성,1,177200,1,152200
10010101117,iPhone,iOS11.3.1,네이버블로그,정상회원,경기도,38,남성,1,79200,0,74200
10010101168,SM-G935K,Android8.0.0,유튜브,정상회원,경기도,22,남성,1,94200,0,74200
1.00101E+11,iPhone,iOS12.0,네이버카페,정상회원,경기도,30,남성,1,216200,1,156200
1.00101E+11,iPhone,iOS11.4.1,인스타그램,정상회원,경기도,27,남성,1,105200,0,76200
10010101321,SM-G955N,Android8.0.0,유튜브,정상회원,경기도,48,여성,1,81200,0,76200
10010101335,SM-A810S,Android7.0,직접검색,탈퇴,경기도,20,남성,1,81200,0,76200
10010101368,SM-A810S,Android7.0,네이버블로그,정상회원,경기도,31,여성,1,86200,0,76200
10010101385,iPhone,iOS11.4.1,구글광고,정상회원,서울시,35,남성,1,81200,0,76200
10010101410,SM-G955N,Android8.0.0,네이버블로그,정상회원,서울시,23,남성,1,20400,0,5400
1.00101E+11,iPhone,iOS12.0,네이버블로그,정상회원,서울시,43,남성,1,30400,0,5400
1.00101E+11,SM-G935S,Android8.0.0,유튜브,정상회원,서울시,32,,1,25400,0,5400
1.00101E+11,SM-G935K,Android8.0.0,유튜브,정상회원,전라도,25,남성,1,54600,1,14600
1.00101E+11,SM-J111F,Android5.1.1,유튜브,정상회원,전라도,30,남성,1,15400,0,5400
1.00101E+11,SM-J111F,Android5.1.1,검색광고,정상회원,서울시,32,남성,1,10400,0,5400
1.00101E+11,iPhone,iOS11.4.1,유튜브,정상회원,서울시,47,여성,1,10400,0,5400
1.00101E+11,SM-J111F,Android5.1.1,네이버블로그,정상회원,서울시,21,남성,1,34400,0,5400
10010101413,SM-N916K,Android6.0.1,네이버블로그,정상회원,서울시,24,남성,2,30800,0,10800
1.00101E+11,SM-J111F,Android5.1.1,네이버블로그,정상회원,경기도,29,남성,2,49800,0,10800
10010101414,iPhone,iOS11.3.1,유튜브,정상회원,경기도,24,여성,1,55400,0,5400
1.00101E+11,SM-A810S,Android7.0,네이버블로그,정상회원,경기도,29,남성,1,35400,0,5400
1.00101E+11,SM-J111F,Android5.1.1,네이버블로그,정상회원,경기도,26,여성,1,10400,0,5400
1.00101E+11,SM-G935K,Android8.0.0,네이버블로그,정상회원,경상도,26,여성,1,10400,0,5400
1.00101E+11,SM-J111F,Android5.1.1,검색광고,정상회원,경상도,26,남성,1,34400,0,5400
1.00101E+11,SM-G955N,Android8.0.0,검색광고,정상회원,경상도,30,여성,1,34400,0,5400
1.00101E+11,SM-N920K,Android7.0,구글광고,정상회원,경상도,26,남성,1,10400,0,5400
1.00101E+11,SM-N920K,Android7.0,유튜브,정상회원,경상도,20,여성,1,15400,0,5400
1.00101E+11,SM-G935S,Android8.0.0,네이버블로그,정상회원,전라도,26,남성,1,10400,0,5400
1.00101E+11,iPhone,iOS11.4.1,유튜브,정상회원,전라도,37,여성,1,55400,0,5400
1.00101E+11,SM-N910S,Android6.0.1,유튜브,정상회원,경상도,19,여성,1,10400,0,5400
10010101418,SM-G960N,Android8.0.0,네이버블로그,정상회원,경기도,33,남성,1,55400,0,5400
1.00101E+11,SM-G965N,Android8.0.0,인스타그램,정상회원,경기도,45,남성,1,25400,0,5400
1.00101E+11,SM-G960N,Android8.0.0,검색광고,정상회원,경기도,20,남성,1,105400,0,5400
10010101429,SM-G965N,Android8.0.0,네이버카페,정상회원,경기도,34,여성,1,25400,0,5400
10010101444,SM-A520S,Android8.0.0,검색광고,정상회원,경상도,26,남성,1,65400,0,5400
10010101452,Mi A1,Android8.1.0,네이버블로그,정상회원,경상도,30,남성,1,10400,0,5400
10010101453,LM-G710N,Android8.0.0,유튜브,정상회원,경상도,28,남성,1,255400,0,5400
10010101455,SM-G935K,Android8.0.0,유튜브,정상회원,경상도,26,남성,1,10400,0,5400
10010101463,iPhone,iOS11.4.1,유튜브,정상회원,경상도,26,남성,2,115800,0,10800
10010101466,SM-G960N,Android8.0.0,유튜브,정상회원,경상도,28,여성,1,25400,0,5400
10010101473,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,24,남성,2,74800,0,10800
10010101477,SM-G960N,Android8.0.0,네이버블로그,정상회원,경상도,19,남성,1,105400,0,5400
10010101480,SM-G955N,Android8.0.0,구글광고,정상회원,서울시,24,남성,1,34400,0,5400
10010101482,SM-A520S,Android8.0.0,네이버블로그,정상회원,서울시,21,남성,1,10400,0,5400
10010101483,SM-J530L,Android7.0,네이버블로그,정상회원,서울시,37,남성,1,15400,0,5400
10010101495,SM-G935S,Android8.0.0,유튜브,정상회원,경상도,22,여성,1,35400,0,5400
1.00101E+11,SM-J530L,Android7.0,네이버블로그,정상회원,경상도,24,남성,1,15000,0,10000
1.00101E+11,SM-G965N,Android8.0.0,유튜브,정상회원,경기도,22,남성,1,0,-1,0
1.00101E+11,SM-A520S,Android8.0.0,네이버블로그,정상회원,경기도,24,,1,17500,0,10000
1.00101E+11,iPhone,iOS11.4.1,유튜브,정상회원,경기도,20,여성,1,60000,0,10000
10010101625,SM-J111F,Android5.1.1,유튜브,정상회원,경기도,38,남성,1,19000,0,10000
10010101632,Mi A1,Android8.1.0,인스타그램,정상회원,경기도,44,남성,1,39000,0,10000
1001010165,LM-G710N,Android8.0.0,유튜브,정상회원,경기도,25,여성,1,20000,0,10000
10010101651,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,25,남성,1,20000,0,10000
10010101652,iPhone,iOS11.4.1,검색광고,정상회원,경상도,,남성,1,20000,0,10000
1001010167,SM-G935S,Android8.0.0,유튜브,정상회원,경상도,22,남성,1,21000,0,10000
10010101676,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,,남성,1,510000,0,10000
1001010169,SM-G965N,Android8.0.0,네이버블로그,정상회원,경상도,30,,1,35000,0,10000
10010101694,SM-G965N,Android8.0.0,네이버카페,정상회원,경상도,29,남성,2,50000,0,20000
10010200710,SM-A520S,Android8.0.0,네이버카페,정상회원,경상도,23,남성,1,55300,0,5300
1.00102E+11,SM-G965N,Android8.0.0,구글광고,정상회원,경상도,28,남성,1,105300,0,5300
1.00102E+11,SM-J111F,Android5.1.1,유튜브,정상회원,경상도,28,,1,35300,0,5300
1.00102E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,27,,1,15300,0,5300
1.00102E+11,Mi A1,Android8.1.0,네이버블로그,정상회원,경상도,35,남성,1,10300,0,5300
1.00102E+11,SM-G935S,Android8.0.0,검색광고,정상회원,경기도,25,남성,1,10300,0,5300
1.00102E+11,iPhone,iOS11.4.1,유튜브,정상회원,경기도,27,남성,1,25300,0,5300
1.00102E+11,SM-G960N,Android8.0.0,검색광고,정상회원,경기도,46,남성,1,255300,0,5300
1.00102E+11,SM-G960N,Android8.0.0,검색광고,정상회원,경기도,20,여성,1,35300,0,5300
10010200736,SM-G965N,Android8.0.0,유튜브,정상회원,경기도,20,남성,1,35300,0,5300
10010200737,iPhone,iOS11.4.1,유튜브,정상회원,전라도,21,남성,1,55300,0,5300
10010200744,SM-J111F,Android5.1.1,인스타그램,정상회원,전라도,29,남성,1,10300,0,5300
10010200751,iPhone,iOS11.4.1,검색광고,정상회원,전라도,37,남성,1,10300,0,5300
10010200753,iPhone,iOS11.4.1,네이버카페,정상회원,경상도,26,남성,1,10300,0,5300
10010200757,SM-N916K,Android6.0.1,네이버블로그,정상회원,경상도,21,남성,1,10300,0,5300
10010200773,SM-J111F,Android5.1.1,유튜브,정상회원,경상도,30,여성,1,25300,0,5300
10010200776,SM-G935S,Android8.0.0,유튜브,정상회원,경상도,23,남성,1,17300,0,5300
10010200779,iPhone,iOS11.3.1,인스타그램,정상회원,경상도,28,여성,1,20300,0,5300
1001020078,SM-J111F,Android5.1.1,네이버블로그,정상회원,경기도,23,남성,1,25300,0,5300
10010200790,SM-N935S,Android7.0,네이버블로그,정상회원,경기도,26,,1,25300,0,5300
1.00102E+11,iPhone,iOS11.3.1,검색광고,정상회원,경기도,36,여성,2,21900,1,11900
1.00102E+11,SM-J111F,Android5.1.1,네이버블로그,정상회원,경기도,25,남성,1,11700,0,2700
1.00102E+11,iPhone,iOS11.4.1,유튜브,정상회원,경기도,22,여성,1,12700,0,2700
10010200811,iPhone,iOS11.4.1,검색광고,정상회원,경기도,20,남성,1,12700,0,2700
1.00102E+11,iPhone,iOS11.4.1,유튜브,정상회원,경기도,24,여성,1,222700,0,2700
1.00102E+11,iPhone,iOS12.0,유튜브,정상회원,경기도,26,남성,2,62400,0,5400
1.00102E+11,SM-A720S,Android8.0.0,페이스북,정상회원,전라도,22,여성,1,17700,0,2700
1.00102E+11,iPhone,iOS12.0,유튜브,정상회원,서울시,20,남성,1,16200,1,9200
1.00102E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,서울시,19,남성,1,7700,0,2700
1.00102E+11,iPhone,iOS11.4.1,네이버카페,정상회원,서울시,23,남성,1,22700,0,2700
1.00102E+11,iPhone,iOS12.0,인스타그램,정상회원,서울시,30,,1,112700,0,2700
1.00102E+11,SM-N920K,Android7.0,네이버블로그,정상회원,서울시,34,여성,1,47700,0,2700
1.00102E+11,SM-A720S,Android8.0.0,유튜브,정상회원,서울시,48,남성,1,52700,0,2700
1.00102E+11,SM-J111F,Android5.1.1,유튜브,정상회원,서울시,26,남성,1,12700,0,2700
1.00102E+11,SM-A720S,Android8.0.0,네이버블로그,정상회원,서울시,31,여성,1,7700,0,2700
1.00102E+11,iPhone,iOS11.4.1,유튜브,정상회원,서울시,31,남성,1,12700,0,2700
1.00102E+11,iPhone,iOS12.0,인스타그램,정상회원,서울시,22,여성,1,102700,0,2700
10010200816,SM-J111F,Android5.1.1,유튜브,정상회원,서울시,22,남성,1,17700,0,2700
1.00102E+11,SM-N916K,Android6.0.1,네이버블로그,정상회원,서울시,25,,1,22700,0,2700
1.00102E+11,SM-N916K,Android6.0.1,인스타그램,정상회원,충청도,24,남성,1,57700,0,2700
1.00102E+11,iPhone,iOS11.4.1,인스타그램,정상회원,충청도,22,남성,1,7700,0,2700
10010200825,iPhone,iOS11.4.1,네이버블로그,정상회원,충청도,24,남성,1,10700,0,2700
10010200829,SM-G960N,Android8.0.0,네이버블로그,정상회원,경상도,27,여성,1,192700,0,2700
10010200833,SM-J111F,Android5.1.1,네이버카페,정상회원,경상도,32,남성,1,52700,0,2700
10010200839,iPhone,iOS11.4.1,유튜브,정상회원,충청도,31,,1,7700,0,2700
1001020084,SM-G960N,Android8.0.0,네이버블로그,정상회원,충청도,37,여성,1,222700,0,2700
10010200841,SM-J111F,Android5.1.1,유튜브,정상회원,충청도,28,남성,2,65400,0,5400
10010200846,iPhone,iOS11.4.1,네이버블로그,정상회원,충청도,21,남성,1,102700,0,2700
10010200851,SM-J111F,Android5.1.1,네이버블로그,정상회원,충청도,23,남성,1,27700,0,2700
10010200855,SM-N950N,Android8.0.0,네이버블로그,정상회원,충청도,25,남성,1,57700,0,2700
10010200861,SM-N950N,Android8.0.0,네이버블로그,정상회원,충청도,33,여성,1,12700,0,2700
10010200869,iPhone,iOS11.4.1,유튜브,정상회원,서울시,24,남성,1,12700,0,2700
10010200880,SM-G960N,Android8.0.0,네이버카페,정상회원,서울시,38,여성,1,302700,0,2700
10010200882,SM-J111F,Android5.1.1,유튜브,정상회원,서울시,21,남성,1,12700,0,2700
10010200886,SM-J111F,Android5.1.1,유튜브,탈퇴,서울시,29,남성,1,47700,0,2700
10010200888,iPhone,iOS11.4.1,네이버카페,정상회원,충청도,30,남성,1,11700,0,2700
10010200890,SM-N920S,Android7.0,인스타그램,정상회원,충청도,27,남성,1,502700,0,2700
10010200891,SM-J111F,Android5.1.1,유튜브,정상회원,경기도,27,남성,1,22700,0,2700
10010200895,SM-J111F,Android5.1.1,유튜브,정상회원,전라도,22,여성,1,35700,0,2700
10010200897,SM-N920S,Android7.0,네이버블로그,탈퇴,경상도,30,,1,9700,0,2700
1.00102E+11,iPhone,iOS11.4.1,유튜브,정상회원,경상도,21,남성,1,53100,0,3100
1.00102E+11,iPhone,iOS11.4.1,유튜브,정상회원,서울시,,,1,8100,0,3100
1.00102E+11,SM-G935S,Android8.0.0,유튜브,정상회원,서울시,23,여성,1,73100,0,3100
1.00102E+11,SM-N920S,Android7.0,유튜브,정상회원,경상도,31,남성,1,58100,0,3100
10010200911,iPhone,iOS11.4.1,네이버블로그,정상회원,서울시,24,여성,1,15100,0,3100
1.00102E+11,SM-N920S,Android7.0,유튜브,정상회원,서울시,25,남성,1,8100,0,3100
1.00102E+11,SM-N916K,Android6.0.1,유튜브,정상회원,서울시,38,,1,8100,0,3100
1.00102E+11,SM-N950N,Android8.0.0,유튜브,정상회원,서울시,38,남성,1,5003100,0,3100
1.00102E+11,SM-G960N,Android8.0.0,검색광고,정상회원,서울시,24,남성,1,33100,0,3100
1.00102E+11,SM-N920S,Android7.0,유튜브,정상회원,서울시,38,남성,1,8100,0,3100
1.00102E+11,SM-N920K,Android7.0,인스타그램,정상회원,서울시,30,여성,1,40000,1,10000
10010200913,iPhone,iOS11.4.1,유튜브,정상회원,강원도,22,남성,1,23100,0,3100
1.00102E+11,SM-N920K,Android7.0,네이버블로그,정상회원,서울시,24,남성,2,31200,0,6200
1.00102E+11,SM-N950N,Android8.0.0,검색광고,탈퇴,서울시,23,남성,1,8100,0,3100
1.00102E+11,iPhone,iOS11.4.1,유튜브,정상회원,서울시,28,남성,2,46200,0,6200
10010200914,SM-G935S,Android8.0.0,인스타그램,정상회원,전라도,22,남성,1,8100,0,3100
1.00102E+11,SM-N910S,Android6.0.1,네이버블로그,정상회원,전라도,22,남성,1,8100,0,3100
1.00102E+11,SM-A720S,Android8.0.0,네이버블로그,정상회원,경상도,27,여성,2,27200,0,6200
1.00102E+11,SM-N910S,Android6.0.1,네이버블로그,정상회원,경상도,24,남성,1,58100,0,3100
1.00102E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,24,남성,2,16200,0,6200
1.00102E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,28,남성,1,18100,0,3100
1.00102E+11,SM-G935K,Android8.0.0,네이버블로그,정상회원,경기도,32,남성,1,8100,0,3100
1.00102E+11,SM-A520S,Android8.0.0,네이버블로그,정상회원,경기도,25,남성,1,23100,0,3100
1.00102E+11,SM-N916K,Android6.0.1,네이버블로그,정상회원,경기도,28,남성,1,8100,0,3100
1.00102E+11,SM-G935K,Android8.0.0,네이버블로그,탈퇴,경기도,23,남성,2,36200,0,6200
1.00102E+11,SM-G960N,Android8.0.0,네이버블로그,정상회원,경기도,31,,1,18100,0,3100
1.00102E+11,SM-G950N,Android7.0,네이버블로그,정상회원,경기도,28,남성,1,21100,0,3100
1.00102E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,경기도,29,여성,1,8100,0,3100
1.00102E+11,SM-N916K,Android6.0.1,네이버블로그,정상회원,경기도,24,여성,2,31200,0,6200
1.00102E+11,SM-G935K,Android8.0.0,네이버블로그,정상회원,경기도,28,여성,1,28100,0,3100
10010200918,iPhone,iOS11.4.1,네이버블로그,정상회원,경기도,23,남성,1,8100,0,3100
1.00102E+11,SM-J111F,Android5.1.1,네이버블로그,정상회원,경기도,20,,1,58100,0,3100
1.00102E+11,SM-J111F,Android5.1.1,네이버블로그,정상회원,경기도,21,남성,1,36100,0,3100
10010200920,LGM-X600L,Android7.1.1,네이버블로그,정상회원,경기도,23,여성,1,13100,0,3100
10010200921,LGM-X600L,Android7.1.1,네이버블로그,정상회원,전라도,44,여성,1,13100,0,3100
10010200930,SM-G960N,Android8.0.0,네이버블로그,정상회원,전라도,31,남성,1,8100,0,3100
10010200936,SM-P580,Android7.0,네이버블로그,정상회원,전라도,25,남성,1,0,-1,0
10010200938,LM-G710N,Android8.0.0,네이버블로그,정상회원,전라도,20,남성,3,94300,0,9300
10010200939,SM-P580,Android7.0,네이버블로그,정상회원,서울시,22,여성,1,0,-1,0
10010200949,SM-G960N,Android8.0.0,네이버블로그,정상회원,전라도,34,여성,1,13100,0,3100
10010200960,LG-F800S,Android8.0.0,네이버블로그,정상회원,전라도,35,남성,1,8100,0,3100
10010200966,LG-F800S,Android8.0.0,네이버블로그,정상회원,경상도,22,남성,1,53100,0,3100
10010200969,SM-A720S,Android8.0.0,네이버블로그,정상회원,경상도,32,남성,1,8100,0,3100
10010200970,LG-F800S,Android8.0.0,네이버블로그,정상회원,경상도,24,여성,1,12100,0,3100
10010200974,SM-N950N,Android8.0.0,네이버블로그,정상회원,경상도,29,남성,1,14100,0,3100
10010200979,SM-J111F,Android5.1.1,네이버블로그,정상회원,경상도,23,여성,1,91100,0,3100
10010200983,SM-J111F,Android5.1.1,네이버블로그,정상회원,경상도,25,여성,1,8100,0,3100
10010200988,SM-G935S,Android8.0.0,네이버블로그,정상회원,경상도,29,남성,1,8100,0,3100
1001020099,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,28,여성,1,23100,0,3100
10010200991,SM-G960N,Android8.0.0,네이버블로그,정상회원,경상도,40,남성,1,8100,0,3100
10010200996,SM-G960N,Android8.0.0,네이버블로그,정상회원,경상도,22,남성,1,8100,0,3100
10010201010,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,20,남성,1,16600,0,6600
1.00102E+11,SM-G950N,Android7.0,네이버블로그,정상회원,경상도,22,여성,1,32400,2,27400
1.00102E+11,Mi A1,Android8.1.0,네이버블로그,정상회원,경상도,19,남성,1,11600,0,6600
1.00102E+11,SM-P580,Android7.0,네이버블로그,정상회원,경상도,25,남성,1,0,-1,0
1.00102E+11,SM-N935S,Android7.0,네이버블로그,정상회원,경상도,23,남성,1,16600,0,6600
1.00102E+11,SM-G935S,Android8.0.0,네이버블로그,정상회원,경상도,35,남성,1,76600,0,6600
1.00102E+11,SM-P580,Android7.0,네이버블로그,정상회원,경상도,29,남성,1,31600,0,6600
1.00102E+11,SM-N935S,Android7.0,네이버블로그,정상회원,경상도,23,여성,1,39600,0,6600
1.00102E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,충청도,25,남성,1,56600,0,6600
1.00102E+11,iPhone,iOS11.3.1,네이버블로그,정상회원,충청도,26,남성,1,16600,0,6600
1.00102E+11,SM-G935S,Android8.0.0,네이버블로그,정상회원,충청도,23,남성,1,56600,0,6600
